wl	n	k
3.12	5.20684	0.16714
3.13	5.20613	0.16547
3.14	5.20542	0.16381
3.15	5.20471	0.16215
3.16	5.20401	0.16051
3.17	5.2033	0.15887
3.18	5.2026	0.15725
3.19	5.2019	0.15563
3.2	5.20121	0.15403
3.21	5.20051	0.15243
3.22	5.19982	0.15084
3.23	5.19912	0.14927
3.24	5.19843	0.1477
3.25	5.19775	0.14614
3.26	5.19706	0.14459
3.27	5.19637	0.14304
3.28	5.19569	0.14151
3.29	5.19501	0.13998
3.3	5.19433	0.13847
